sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match,pos_match?,lemma_match?,lemma_sim?
dev-s1,1,+,+,PUNCT,0,0,+,is,VERB,True,False,False,0.0
dev-s1,2,in,in,ADP,1,1,in,in,ADP,True,True,True,1.0
dev-s1,3,dei,deus,PROPN,2,2,dei,deus,NOUN,True,False,True,1.0
dev-s1,4,omnipotentis,omnipotens,ADJ,3,3,omnipotentis,omnipotens,ADJ,True,True,True,1.0
dev-s1,5,nomine,nomen,NOUN,4,4,nomine,nomen,NOUN,True,True,True,1.0
dev-s1,6,regnante,regno,VERB,5,5,regnante,regno,VERB,True,True,True,1.0
dev-s1,7,domno,domnus,NOUN,6,6,domno,domnum,NOUN,True,True,False,0.8333333333333334
dev-s1,8,nostro,noster,DET,7,7,nostro,noster,DET,True,True,True,1.0
dev-s1,9,karolus,carolus,PROPN,8,8,karolus,karolus,ADJ,True,False,False,0.8571428571428571
dev-s1,10,divina,diuinus,ADJ,9,9,divina,divinus,ADJ,True,True,False,0.8571428571428571
dev-s1,11,faventem,faueo,VERB,10,10,faventem,favio,VERB,True,True,False,0.6
dev-s1,12,clementia,clementia,NOUN,11,11,clementia,clementia,NOUN,True,True,True,1.0
dev-s1,13,rex,rex,NOUN,12,12,rex,rex,NOUN,True,True,True,1.0
dev-s1,14,",",",",PUNCT,13,13,",",",",PUNCT,True,True,True,1.0
dev-s1,15,anno,annus,NOUN,14,14,anno,annus,NOUN,True,True,True,1.0
dev-s1,16,regni,regnum,NOUN,15,15,regni,regnum,NOUN,True,True,True,1.0
dev-s1,17,eius,is,PRON,16,16,eius,is,PRON,True,True,True,1.0
dev-s1,18,in,in,ADP,17,17,in,in,ADP,True,True,True,1.0
dev-s1,19,italia,italia,PROPN,18,18,italia,italis,ADJ,True,False,False,0.8333333333333334
dev-s1,20,primo,primus,ADJ,19,19,primo,primus,ADJ,True,True,True,1.0
dev-s1,21,",",",",PUNCT,20,20,",",",",PUNCT,True,True,True,1.0
dev-s1,22,octavo,octauus,ADJ,21,21,octavo,octavus,ADJ,True,True,False,0.8571428571428571
dev-s1,23,kalendas,kalendae,NOUN,22,22,kalendas,kalio,VERB,True,False,False,0.46153846153846156
dev-s1,24,decembris,december,ADJ,23,23,decembris,december,NOUN,True,False,True,1.0
dev-s1,25,",",",",PUNCT,24,24,",",",",PUNCT,True,True,True,1.0
dev-s1,26,indictione,indictio,NOUN,25,25,indictione,indictio,NOUN,True,True,True,1.0
dev-s1,27,quarta,quartus,ADJ,26,26,quarta,quartus,ADJ,True,True,True,1.0
dev-s1,28,decima,decimus,ADJ,27,27,decima,decimus,ADJ,True,True,True,1.0
dev-s1,29,.,.,PUNCT,28,28,.,.,PUNCT,True,True,True,1.0
dev-s2,1,manifesti,manifestus,ADJ,0,0,manifesti,manifestus,ADJ,True,True,True,1.0
dev-s2,2,sumus,sum,AUX,1,1,sumus,sum,AUX,True,True,True,1.0
dev-s2,3,nos,nos,PRON,2,2,nos,nos,PRON,True,True,True,1.0
dev-s2,4,leoprando,leoprandus,PROPN,3,3,leoprando,leopro,VERB,True,False,False,0.625
dev-s2,5,que,qui,PRON,4,4,que,que,CCONJ,True,False,False,0.6666666666666666
dev-s2,6,cillo,cillus,PROPN,5,5,cillo,cillus,NOUN,True,False,True,1.0
dev-s2,7,vocatur,uoco,VERB,6,6,vocatur,voco,VERB,True,True,False,0.75
dev-s2,8,",",",",PUNCT,7,7,",",",",PUNCT,True,True,True,1.0
dev-s2,9,filio,filius,NOUN,8,8,filio,filius,NOUN,True,True,True,1.0
dev-s2,10,quondam,quondam,ADJ,9,9,quondam,quonda,NOUN,True,False,False,0.9230769230769231
dev-s2,11,cristiani,christianus,PROPN,10,10,cristiani,cristianus,NOUN,True,False,False,0.9523809523809523
dev-s2,12,",",",",PUNCT,11,11,",",",",PUNCT,True,True,True,1.0
dev-s2,13,et,et,CCONJ,12,12,et,et,CCONJ,True,True,True,1.0
dev-s2,14,iohannes,johannes,PROPN,13,13,iohannes,iohannes,PROPN,True,True,False,0.875
dev-s2,15,",",",",PUNCT,14,14,",",",",PUNCT,True,True,True,1.0
dev-s2,16,filio,filius,NOUN,15,15,filio,filius,NOUN,True,True,True,1.0
dev-s2,17,quondam,quondam,ADJ,16,16,quondam,quonda,NOUN,True,False,False,0.9230769230769231
dev-s2,18,vualpi,vualpus,PROPN,17,17,vualpi,vualpus,ADJ,True,False,True,1.0
dev-s2,19,",",",",PUNCT,18,18,",",",",PUNCT,True,True,True,1.0
dev-s2,20,quia,quia,SCONJ,19,19,quia,quia,SCONJ,True,True,True,1.0
dev-s2,21,tu,tu,PRON,20,20,tu,tu,PRON,True,True,True,1.0
dev-s2,22,gherardus,gherardus,PROPN,21,21,gherardus,gherardus,NOUN,True,False,True,1.0
dev-s2,23,",",",",PUNCT,22,22,",",",",PUNCT,True,True,True,1.0
dev-s2,24,gratia,gratia,NOUN,23,23,gratia,gratia,NOUN,True,True,True,1.0
dev-s2,25,dei,deus,PROPN,24,24,dei,deus,NOUN,True,False,True,1.0
dev-s2,26,huius,hic,DET,25,25,huius,hic,DET,True,True,True,1.0
dev-s2,27,sancte,sanctus,ADJ,26,26,sancte,sanctus,NOUN,True,False,True,1.0
dev-s2,28,lucane,lucanus,ADJ,27,27,lucane,luco,VERB,True,False,False,0.5454545454545454
dev-s2,29,ecclesie,ecclesia,NOUN,28,28,ecclesie,ecclesie,NOUN,True,True,False,0.875
dev-s2,30,humilis,humilis,ADJ,29,29,humilis,humilis,ADJ,True,True,True,1.0
dev-s2,31,episcopus,episcopus,NOUN,30,30,episcopus,episcopus,NOUN,True,True,True,1.0
dev-s2,32,",",",",PUNCT,31,31,",",",",PUNCT,True,True,True,1.0
dev-s2,33,per,per,ADP,32,32,per,per,ADP,True,True,True,1.0
dev-s2,34,cartula,chartula,NOUN,33,33,cartula,cartula,NOUN,True,True,False,0.9333333333333333
dev-s2,35,livellario,libellarius,ADJ,34,34,livellario,livellarius,ADJ,True,True,False,0.9090909090909091
dev-s2,36,nomine,nomen,NOUN,35,35,nomine,nomen,NOUN,True,True,True,1.0
dev-s2,37,ad,ad,ADP,36,36,ad,ad,ADP,True,True,True,1.0
dev-s2,38,censum,census,NOUN,37,37,censum,census,NOUN,True,True,True,1.0
dev-s2,39,vobis,uos,PRON,38,38,vobis,vobus,DET,True,False,False,0.5
dev-s2,40,perexolvendum,perexsoluo,VERB,39,39,perexolvendum,perexolvo,VERB,True,True,False,0.8421052631578947
dev-s2,41,dedisti,do,VERB,40,40,dedisti,do,VERB,True,True,True,1.0
dev-s2,42,nobis,nos,PRON,41,41,nobis,nos,PRON,True,True,True,1.0
dev-s2,43,",",",",PUNCT,42,42,",",",",PUNCT,True,True,True,1.0
dev-s2,44,id,is,PRON,43,43,id,is,PRON,True,True,True,1.0
dev-s2,45,est,sum,AUX,44,44,est,sum,AUX,True,True,True,1.0
dev-s2,46,res,res,NOUN,45,45,res,res,NOUN,True,True,True,1.0
dev-s2,47,illa,ille,DET,46,46,illa,ille,DET,True,True,True,1.0
dev-s2,48,in,in,ADP,47,47,in,in,ADP,True,True,True,1.0
dev-s2,49,loco,locus,NOUN,48,48,loco,locus,NOUN,True,True,True,1.0
dev-s2,50,et,et,CCONJ,49,49,et,et,CCONJ,True,True,True,1.0
dev-s2,51,finibus,finis,NOUN,50,50,finibus,finis,NOUN,True,True,True,1.0
dev-s2,52,murriano,murrianum,PROPN,51,51,murriano,murrianus,ADJ,True,False,False,0.8888888888888888
dev-s2,53,quas,qui,PRON,52,52,quas,qui,PRON,True,True,True,1.0
